date,content
2016-04-29,0.0
2016-05-31,0.04589261128958238
2016-06-30,0.03942652329749104
2016-07-29,0.033844765342960284
2016-08-31,0.005920312592504884
2016-09-30,0.003109887888541618
2016-10-31,0.007142602049926788
2016-11-30,0.057164215201283994
2016-12-30,0.07350862312694373
2017-01-31,0.04470439220653429
2017-02-28,0.1559656875487393
2017-03-31,0.06582758439096319
2017-04-28,0.20526217577906325
2017-05-31,0.08984277514349888
2017-06-30,0.13378294175860425
2017-07-31,0.14516266757749124
2017-08-31,0.17220002755200442
2017-09-29,0.04582531390340024
2017-10-31,0.025326073192351528
2017-11-30,0.008992967499415458
2017-12-29,0.022388059701492536
2018-01-31,0.04397295663167152
2018-02-28,0.0
2018-03-30,0.08547008547008547
2018-04-30,0.14236197078484775
2018-05-31,0.01838460595661233
2018-06-29,0.03297428006155199
2018-07-31,0.014044697248994927
2018-08-31,0.3520491063368839
2018-09-28,0.15386936189470507
2018-10-31,0.03387457374494704
2018-11-30,0.0430530782950981
2018-12-31,0.06372325898953118
2019-01-31,0.17912824255290918
2019-02-28,0.07485029940119761
2019-03-29,0.444739262185102
2019-04-30,0.08990110878034162
2019-05-31,0.6519039735099338
2019-06-28,0.10931133856702774
2019-07-31,0.2361421824509073
2019-08-30,0.1140973630831643
2019-09-30,0.06923495376094159
2019-10-31,0.3269098417068135
2019-11-29,0.04817729243616509
2019-12-31,0.010903341874284468
2020-01-31,0.2150419056021173
2020-02-28,0.016943409013893598
2020-03-31,0.04806431879751813
2020-04-30,0.08398794525962155
2020-05-29,0.12322858903265559
2020-06-30,0.21603316401004263
2020-07-31,0.14734515602799558
2020-08-31,0.289569699426652
2020-09-30,0.021703743895822032
