date,economy,reform_market,intervention,reform,intervention_support,intervention_tax_cut,regulation,intervention_spending,finance,reform_innovation
2016-04-17,0.9633911368015412,0.674373795761079,0.0,0.3853564547206166,0.0,0.0,0.09633911368015416,0.0,0.0,0.1926782273603083
2016-04-24,0.5820503191888847,0.5632745024408562,0.4506196019526849,0.4318437852046564,0.4318437852046564,0.0,0.3942921517085993,0.01877581674802854,0.07510326699211416,0.3379647014645137
2016-05-01,0.5958747135217723,0.33613445378151263,0.3819709702062644,0.3972498090145149,0.33613445378151263,0.0,0.29029793735676085,0.04583651642475172,0.015278838808250572,0.5042016806722689
2016-05-08,3.0397022332506203,0.4962779156327544,0.8374689826302729,0.7754342431761787,0.8064516129032258,0.03101736972704715,0.2791563275434243,0.0,0.15508684863523575,0.9305210918114144
2016-05-15,0.9785550697480742,1.0410160316468873,0.8744534665833853,1.7280866125338328,0.7911721840516344,0.04164064126587549,1.4574224443056425,0.04164064126587549,0.10410160316468876,0.5413283364563815
2016-05-22,1.3164621676891617,1.2397750511247445,0.5495910020449898,1.3803680981595092,0.4984662576687117,0.051124744376278126,0.4856850715746421,0.0,0.1278118609406953,0.7796523517382413
2016-05-29,1.099495313626532,0.558759913482336,0.16222062004325882,1.2797404470079308,0.09012256669069936,0.07209805335255948,0.32444124008651765,0.0,0.14419610670511895,0.7750540735400144
2016-06-05,0.4452817263230005,0.7878061311868471,0.32539818462065423,1.318718958725809,0.2568933036478849,0.0,0.3425244048638465,0.0685048809727693,0.08563110121596164,1.0789518753211167
2016-06-12,0.9441384736428008,0.8261211644374508,0.1966955153422502,1.4162077104642017,0.15735641227380015,0.03933910306845004,0.07867820613690008,0.0,0.0,0.9834775767112508
2016-06-19,0.5157297576070139,1.1861784424961321,0.1031459515214028,0.7220216606498195,0.07735946364105209,0.0257864878803507,0.28365136668385765,0.0,0.0515729757607014,0.4383702939659618
2016-06-26,0.9910117538603364,0.4839824844434202,1.7515556579857108,1.7054620880387186,1.728508873012215,0.0,0.3917953445494353,0.0230467849734962,2.1433510025351463,0.8296842590458631
2016-07-03,1.6591038003403291,0.9146341463414632,0.3899602949517868,1.7796369824163358,0.3119682359614294,0.07090187180941576,0.3190584231423709,0.007090187180941576,0.6097560975609756,0.4821327283040272
2016-07-10,0.2835951134380453,0.5890052356020943,0.1963350785340314,0.4581151832460733,0.1963350785340314,0.0,0.5235602094240838,0.0,0.10907504363001744,0.2181500872600349
2016-07-17,2.012777746367388,0.6615027986656866,0.3788092949624018,0.6162718380731611,0.3618476847402047,0.016961610222197096,0.07350031096285407,0.0,0.06784644088878837,0.3222705942217448
2016-07-24,2.444021659593151,0.8049173130396605,0.49758524806088106,1.6244694863164058,0.4829503878237963,0.014634860237084737,0.2926972047416947,0.0,0.8780916142250841,0.7317430118542367
2016-07-31,0.7092198581560284,0.384160756501182,0.7387706855791962,0.44326241134751776,0.6205673758865249,0.1182033096926714,0.2364066193853428,0.0,0.8717494089834515,0.10342789598108748
2016-08-07,0.0,0.0,0.4878048780487805,0.0,0.4878048780487805,0.0,0.0,0.0,0.0,0.0
2016-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-21,0.559310184106269,0.9554882311815428,0.20974131903985085,0.3961780470752739,0.1631321370309951,0.0,0.2796550920531345,0.04660918200885575,0.2796550920531345,0.023304591004427874
2016-08-28,0.6378084483479716,0.2927645336679214,0.3345880384776244,0.6587202007528231,0.3136762860727729,0.0,0.1986616478460895,0.02091175240485153,0.010455876202425765,0.5750731911334169
2016-09-04,0.4177234074295092,0.5818290317768163,0.253617783082202,0.6116664180217812,0.23869908995971956,0.0,0.5669103386543339,0.014918693122482469,0.1491869312248247,0.6415038042667462
2016-09-11,0.4784162771514984,0.3739345614517459,0.3464393731097058,0.2694528457519934,0.3464393731097058,0.0,0.054990376684080286,0.0,0.13747594171020072,0.0769865273577124
2016-09-18,0.28109627547434995,1.1419536191145467,0.21082220660576245,0.4216444132115249,0.1932536893886156,0.0,0.2283907238229093,0.017568517217146872,0.035137034434293744,0.07027406886858749
2016-09-25,0.7202252340732009,0.8937340404635631,0.18005630851830026,0.3633863681005696,0.17023505532639294,0.006547502127938192,0.11785503830288745,0.003273751063969096,0.08511752766319647,0.09821253191907288
2016-10-02,0.5218787635487756,0.8831794460056202,0.10036130068245684,0.5218787635487756,0.10036130068245684,0.0,0.08028904054596547,0.0,0.02007226013649137,0.16057808109193095
2016-10-09,0.4527101431542885,0.6117704637220115,0.25694359476324485,0.7096537379175334,0.2324727762143644,0.02447081854888046,0.3792976875076472,0.0,0.2447081854888046,0.3548268689587667
2016-10-16,0.9458009122618728,0.4963777837402736,0.35551381808425003,0.8585994097129058,0.34209820230748594,0.0,0.1408639656560236,0.013415615776764155,0.09390931043734907,0.7110276361685001
2016-10-23,1.053595968850206,0.8703618873110398,0.4580852038479157,1.3742556115437472,0.4580852038479157,0.0,0.1374255611543747,0.0,0.1374255611543747,0.3664681630783326
2016-10-30,0.3980099502487562,0.4975124378109453,0.0,0.5970149253731344,0.0,0.0,0.2985074626865672,0.0,0.0,0.09950248756218903
2016-11-06,0.5725895825637236,0.6372367934983376,0.28167713335796085,0.2955301071296638,0.27705947543405984,0.0,0.07850018470631695,0.004617657923900997,0.2124122644994459,0.2262652382711489
2016-11-13,1.0304757728568297,0.7016005262003947,0.263100197325148,0.5700504275378206,0.17540013155009868,0.065775049331287,0.08770006577504934,0.02192501644376233,0.3727252795439596,0.263100197325148
2016-11-20,0.6668313163744134,0.4816003951592986,0.35811311434922205,0.5680414917263522,0.3334156581872067,0.0,0.27167201778216843,0.02469745616201531,0.07409236848604593,0.23462583353914546
2016-11-27,0.3033257501895786,0.5633192503520745,0.23832737514895455,1.094139313183837,0.23832737514895455,0.0,0.6283176253926985,0.0,0.054165312533853316,0.5416531253385333
2016-12-04,0.5495368189668708,0.5338357669963888,0.7065473386716911,0.9420631182289214,0.3297220913801225,0.3611241953210865,0.5495368189668708,0.015701051970482018,0.06280420788192809,0.25121683152771235
2016-12-11,1.0171869519466854,1.473167309715889,0.526131182041389,0.6664328305857594,0.35075412136092604,0.17537706068046302,0.3156787092248334,0.0,0.07015082427218519,0.3156787092248334
