date,economy,reform,intervention,reform_market,finance,intervention_spending,regulation,intervention_tax_cut,intervention_support,reform_innovation
2016-04-18,1.4467592592592593,0.40509259259259256,0.11574074074074073,0.6944444444444444,0.11574074074074073,0.0,0.11574074074074073,0.0,0.11574074074074073,0.1736111111111111
2016-04-19,0.4511278195488722,1.3533834586466165,0.15037593984962408,0.9022556390977444,0.0,0.0,0.15037593984962408,0.0,0.15037593984962408,0.6015037593984963
2016-04-20,0.5758157389635317,0.8637236084452975,0.6717850287907869,0.8637236084452975,0.19193857965451053,0.09596928982725528,0.6717850287907869,0.0,0.5758157389635317,1.2476007677543186
2016-04-21,2.1739130434782608,0.0,0.0,1.5527950310559009,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,0.12946659761781462,0.12946659761781462,0.4660797514241326,0.20714655618850336,0.0,0.07767995857068878,0.6732263076126359,0.0,0.38839979285344384,0.05178663904712584
2016-04-26,1.1665325824617858,0.8045052292839904,0.4424778761061947,0.08045052292839902,0.0,0.0,0.08045052292839902,0.0,0.4424778761061947,1.1665325824617858
2016-04-27,0.1241721854304636,0.08278145695364239,0.4139072847682119,0.4966887417218544,0.0413907284768212,0.0,0.1241721854304636,0.0,0.4139072847682119,0.08278145695364239
2016-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,0.5154639175257731,0.25773195876288657,0.0,1.2886597938144329,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,0.0,0.0,0.3891050583657588,0.5836575875486382,0.0,0.0,0.19455252918287935,0.0,0.3891050583657588,2.3346303501945527
2016-05-04,0.8390541571319604,0.8390541571319604,1.5255530129672006,0.9916094584286804,0.38138825324180015,0.0,0.5339435545385203,0.07627765064836002,1.4492753623188406,0.5339435545385203
2016-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,6.2187276626161525,1.0007147962830594,0.35739814152966404,0.0,0.0,0.0,0.07147962830593281,0.0,0.35739814152966404,0.7862759113652609
2016-05-09,0.5933544303797469,1.8196202531645569,1.3844936708860758,0.9098101265822784,0.039556962025316465,0.039556962025316465,1.7800632911392409,0.07911392405063293,1.2658227848101269,0.3560126582278481
2016-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,1.65016501650165,2.31023102310231,0.5500550055005501,1.2101210121012098,0.33003300330033003,0.11001100110011,1.54015401540154,0.0,0.44004400440044,0.99009900990099
2016-05-12,0.8290155440414507,1.243523316062176,0.20725388601036268,1.4507772020725391,0.0,0.0,1.1398963730569949,0.0,0.20725388601036268,0.8290155440414507
2016-05-13,2.244389027431421,0.9975062344139649,0.0,0.4987531172069825,0.2493765586034913,0.0,0.0,0.0,0.0,0.0
2016-05-16,1.2422360248447204,0.709849157054126,0.9760425909494232,0.08873114463176575,0.0,0.0,0.0,0.0,0.9760425909494232,0.7985803016858917
2016-05-17,1.7187500000000002,1.25,0.15625,2.5,0.625,0.0,0.0,0.0,0.15625,0.9375
2016-05-18,0.7083825265643447,1.4167650531286895,0.8264462809917356,0.9445100354191264,0.0,0.0,1.180637544273908,0.0,0.8264462809917356,1.4167650531286895
2016-05-19,1.1465603190428717,0.7477567298105683,0.19940179461615154,2.3928215353938187,0.0,0.0,0.14955134596211367,0.0,0.19940179461615154,0.14955134596211367
