date,economy_ref,finance_ref,intervention_ref,intervention_spending_ref,intervention_support_ref,intervention_tax_cut_ref,reform_innovation_ref,reform_market_ref,reform_ref,regulation_ref
2013-03-29,0.6640841173215274,0.11068068622025456,0.22136137244050916,0.0,0.22136137244050916,0.0,0.11068068622025456,6.585500830105147,0.8854454897620365,1.2174875484228
2013-04-30,0.6745904272406039,0.192740122068744,0.385480244137488,0.0,0.28911018310311604,0.09637006103437197,0.353356890459364,3.501445550915516,1.3491808544812078,0.9958239640218438
2013-05-31,0.9272674587076212,0.17386264850767896,0.4636337293538105,0.02897710808461316,0.4346566212691973,0.0,0.2607939727615184,3.1874818893074464,1.2749927557229788,1.2170385395537524
2013-06-28,0.8620689655172413,0.9578544061302682,1.1494252873563218,0.0,1.1494252873563218,0.0,0.2554278416347382,3.2247765006385696,1.0217113665389528,0.6704980842911877
2013-07-31,0.8035466888334718,0.1939595455804932,1.0252147409254642,0.2770850651149903,0.7481296758104738,0.0,0.2493765586034913,3.851482405098365,1.0252147409254642,0.6372956497644777
2013-08-30,0.2566923359002567,0.44004400440044,0.6967363403006968,0.07334066740007332,0.6233956729006234,0.0,0.22002200220022,2.896956362302897,0.88008800880088,1.1367803447011369
2013-09-30,0.3749531308586427,0.03749531308586427,1.124859392575928,0.0,1.124859392575928,0.0,0.11248593925759283,3.674540682414698,0.562429696287964,1.3873265841769775
2013-10-31,0.838150289017341,0.057803468208092484,0.3757225433526011,0.02890173410404625,0.3179190751445087,0.02890173410404625,0.3468208092485549,3.4971098265895963,1.1560693641618496,1.184971098265896
2013-11-29,0.6086427267194157,0.060864272671941576,0.426049908703591,0.0,0.36518563603164944,0.060864272671941576,0.426049908703591,2.9214850882531955,3.5909920876445525,1.704199634814364
2013-12-31,0.2557544757033248,0.03653635367190354,0.21921812203142127,0.0,0.1826817683595177,0.03653635367190354,0.10960906101571063,3.6536353671903545,0.8037997807818781,0.8403361344537815
2014-01-31,0.4611837048424289,0.07686395080707148,0.6533435818601077,0.03843197540353574,0.6149116064565718,0.0,0.4227517294388932,2.767102229054573,0.9607993850883936,1.8447348193697155
2014-02-28,0.2746174970576697,0.0,0.5884660651235779,0.07846214201647705,0.5100039231071009,0.0,0.2353864260494312,1.9223224794036884,0.6276971361318164,1.7261671243624952
2014-03-31,0.20920502092050208,0.0,0.20920502092050208,0.0,0.20920502092050208,0.0,0.0,2.928870292887029,0.20920502092050208,0.41841004184100417
2014-04-30,1.263157894736842,0.8421052631578947,1.1428571428571428,0.0,1.0526315789473684,0.09022556390977443,0.5413533834586466,2.5864661654135337,0.8421052631578947,0.9323308270676692
2014-05-30,0.942951438000943,0.8486562942008486,0.8015087223008015,0.0,0.8015087223008015,0.0,0.942951438000943,2.923149457802923,1.0372465818010372,1.178689297501179
2014-06-30,0.7920792079207921,0.1188118811881188,0.5544554455445544,0.0,0.4752475247524752,0.07920792079207921,0.31683168316831684,2.1782178217821784,0.6732673267326733,1.1089108910891088
2014-07-31,0.8762322015334063,0.8762322015334063,0.9036144578313252,0.08214676889375684,0.8214676889375685,0.0,0.3559693318729463,2.546549835706462,1.0405257393209202,0.9583789704271632
2014-08-29,0.5053340819764177,0.11229646266142618,0.8983717012914094,0.11229646266142618,0.7299270072992701,0.05614823133071309,0.5053340819764177,2.0774845592363844,1.1791128579449746,1.1229646266142617
2014-09-30,0.8484848484848486,0.30303030303030304,0.6060606060606061,0.060606060606060615,0.4848484848484849,0.060606060606060615,0.30303030303030304,3.4545454545454546,1.2727272727272727,1.1515151515151514
2014-10-31,1.0686395396629675,0.5754212905877518,1.4385532264693794,0.08220304151253596,1.2741471434443077,0.08220304151253596,0.5343197698314838,1.7673653925195234,0.9453349773941636,1.1508425811755036
2014-11-28,0.2272081794944618,0.9088327179778471,1.2212439647827322,0.08520306731042318,0.9940357852882704,0.1420051121840386,0.7952286282306162,1.6472593013348482,1.022436807725078,1.1076398750355012
2014-12-31,0.2743484224965706,0.4938271604938271,0.8230452674897121,0.41152263374485604,0.3840877914951989,0.02743484224965707,0.5212620027434842,3.5665294924554183,0.8230452674897121,1.0425240054869684
2015-01-30,0.17991004497751126,0.3598200899550225,1.0194902548725635,0.02998500749625187,0.95952023988006,0.02998500749625187,1.1394302848575713,2.608695652173913,1.1094452773613197,1.1394302848575713
2015-02-27,0.4756677643615075,0.07317965605561652,0.6586169045005488,0.0,0.402488108305891,0.2561287961946579,0.5122575923893158,2.927186242224661,0.7683863885839737,1.390413465056714
2015-03-31,0.5760368663594471,0.2304147465437788,0.2304147465437788,0.0,0.0576036866359447,0.1728110599078341,0.4032258064516129,3.052995391705069,1.2672811059907834,0.9792626728110598
2015-04-30,1.3348946135831379,0.2107728337236534,0.9133489461358314,0.0468384074941452,0.7025761124121779,0.16393442622950818,0.819672131147541,2.6932084309133493,1.3114754098360657,0.8430913348946136
2015-05-29,0.7185628742514971,0.7185628742514971,1.3173652694610778,0.17964071856287425,0.8982035928143712,0.23952095808383236,0.7784431137724551,3.473053892215569,1.0179640718562877,1.497005988023952
2015-06-30,0.7259528130671506,0.5444646098003629,1.1148561057816957,0.10370754472387864,0.8815141301529686,0.12963443090484833,1.166709878143635,3.318641431164117,0.9074410163339384,0.6740990407052113
2015-07-31,0.5470459518599562,0.700218818380744,1.1816192560175056,0.06564551422319474,1.0940919037199124,0.02188183807439825,0.6345733041575492,1.9693654266958425,0.9409190371991246,0.9190371991247264
2015-08-31,0.5629272215520708,0.5227181342983513,0.9248090068355448,0.08041817450743867,0.8443908323281062,0.0,0.7639726578206675,1.6887816646562124,0.9248090068355448,0.8443908323281062
2015-09-30,0.3252914068853348,0.5150447275684468,1.0300894551368935,0.0813228517213337,0.9216589861751152,0.02710761724044456,0.813228517213337,1.3553808620222283,1.192735158579561,0.623475196530225
2015-10-30,0.7918552036199095,0.9615384615384616,1.1312217194570136,0.0,1.0746606334841629,0.056561085972850686,1.0180995475113122,2.2058823529411766,1.1877828054298645,0.9615384615384616
2015-11-30,0.9796806966618288,0.7619738751814223,1.0159651669085632,0.0362844702467344,0.9433962264150944,0.0362844702467344,0.3991291727140783,2.576197387518142,1.632801161103048,0.9433962264150944
2015-12-31,0.2956989247311828,1.1559139784946235,0.7526881720430108,0.0,0.6989247311827957,0.053763440860215055,0.8602150537634409,0.8602150537634409,1.478494623655914,1.2365591397849462
