date,economy,reform,regulation,intervention
2016-04-17,0.674373795761079,0.674373795761079,0.1926782273603083,0.0
2016-04-24,0.525426909363858,1.125914805779696,0.4878964158378683,0.4878964158378683
2016-05-01,0.3501827040194884,0.8373934226552984,0.3654080389768575,0.3654080389768575
2016-05-08,0.7439553626782394,1.208927464352139,0.24798512089274644,0.5269683818970862
2016-05-15,0.5777961205117622,3.446141147338011,0.9286009079653321,0.2682624845233182
2016-05-22,0.9058433273794335,2.475121204388875,0.35723398826231184,0.4465424853278898
2016-05-29,1.021505376344086,1.881720430107527,0.2688172043010753,0.10752688172043011
2016-06-05,0.4450530640191715,1.8486819582334817,0.41081821294077375,0.3423485107839781
2016-06-12,0.6679764243614932,2.161100196463654,0.19646365422396855,0.19646365422396855
2016-06-19,0.4899432697266632,1.547189272821042,0.23207839092315627,0.1031459515214028
2016-06-26,2.2094361334867663,2.715765247410817,0.3912543153049482,0.805523590333717
2016-07-03,1.5692679116665484,2.549172761485479,0.31243343037705035,0.29823191081445716
2016-07-10,0.3270111183780248,0.7848266841072596,0.45781556572923476,0.1962066710268149
2016-07-17,0.8590482649485701,1.0455521645755623,0.07347123318639086,0.24867186616932294
2016-07-24,2.5040269439156537,2.3283057548689414,0.3367989456728657,0.46858983745790017
2016-07-31,0.9563042518758275,1.1034279829336473,0.20597322348094746,0.38252170075033104
2016-08-07,0.0,0.0,0.0,0.4878048780487805
2016-08-14,0.0,0.0,0.0,0.0
2016-08-21,0.6766215585627624,1.4699020065328978,0.25664955669622025,0.2099860009332711
2016-08-28,0.15678896205707119,0.88847078499007,0.21950454687989968,0.28222013170272814
2016-09-04,0.4622725917089174,1.2824336415150612,0.551744706233224,0.25350432448553534
2016-09-11,0.5059392872855257,0.5664320281566212,0.17047954245490543,0.3464584249890013
2016-09-18,0.22843085573712882,0.790722192936215,0.316288877174486,0.22843085573712882
2016-09-25,0.7001472272206772,0.9062653361688205,0.14068378864714542,0.17340094879764437
2016-10-02,0.42134831460674155,1.2640449438202246,0.04012841091492777,0.1203852327447833
2016-10-09,0.5015290519877676,1.4434250764525993,0.29357798165137616,0.17125382262996944
2016-10-16,0.656308598982052,1.1518885614787036,0.14063755692472543,0.29466916688990086
2016-10-23,0.7322654462242564,2.059496567505721,0.045766590389016024,0.3661327231121282
2016-10-30,0.2985074626865672,0.9950248756218906,0.3980099502487562,0.0
2016-11-06,0.6455777921239509,0.9729779581296689,0.07839158904362262,0.2628423867933229
2016-11-13,1.0083296799649275,1.205611573871109,0.10960105217010083,0.263042525208242
2016-11-20,0.5185825410544511,1.1482899123348562,0.24694406716878628,0.33337449067786146
2016-11-27,0.1838235294117647,2.065311418685121,0.6596020761245674,0.16219723183391002
2016-12-04,0.39044198032172417,1.436826487583945,0.5153834140246759,0.6403248477276277
2016-12-11,0.9119607155384075,1.403016485443704,0.350754121360926,0.3156787092248334
2016-12-18,0.3887269193391642,0.1943634596695821,0.1943634596695821,0.1943634596695821
2016-12-25,0.383525095881274,1.2839753209938303,0.3001500750375188,0.3168250792062698
2017-01-01,0.25014889815366287,1.2030970815961881,0.2620607504466944,0.29779630732578916
2017-01-08,0.5978080371969445,2.374626369976752,0.6642311524410495,0.1826635669212886
2017-01-15,0.392349190779794,1.324178518881805,1.4713094654242276,0.0980872976949485
2017-01-22,0.7286606523247745,1.30117973629424,0.19083969465648853,0.36433032616238725
2017-01-29,0.1171583768239429,0.6816487378847588,0.04260304611779742,0.04260304611779742
2017-02-05,0.14780405405405406,0.6545608108108109,0.8023648648648648,0.04222972972972973
2017-02-12,0.2204030226700252,1.1335012594458438,1.1649874055415617,0.12594458438287154
2017-02-19,0.057836899942163095,0.6940427993059572,0.11567379988432619,0.2891844997108155
2017-02-26,0.4360651532640759,1.3338463511607028,0.44889059894831346,0.243683468000513
2017-03-05,0.6030616978506262,1.5927014071439618,0.4535848667594454,0.38142363795680634
2017-03-12,0.5808131383937513,1.1215701982775887,0.30042058882435413,0.24033647105948328
2017-03-19,0.27834477639636296,0.995855755551432,0.09278159213212099,0.14226510793591884
2017-03-26,0.5081758944305561,0.8811114298594319,0.1557313224867833,0.1188475882135978
2017-04-02,0.513083632632119,0.791614747489555,0.1905739206919299,0.13926555742871805
2017-04-09,0.8722421754746024,1.8299982897212246,0.2907473918248674,0.3933641183512912
2017-04-16,0.24224806201550386,0.8074935400516795,0.22609819121447028,0.24224806201550386
2017-04-23,0.573394495412844,1.9167758846657927,0.21297509829619923,0.6061598951507209
2017-04-30,0.23344032681645752,2.1593230230522322,0.40852057192880076,0.23344032681645752
2017-05-07,1.0793871866295264,0.8008356545961003,0.5571030640668524,0.4178272980501393
2017-05-14,0.4043302465110213,1.0043041606886656,0.10434328942219903,0.2999869570888222
2017-05-21,0.387382401770891,1.2359343294595093,0.3320420586607637,0.6271905552481092
2017-05-28,0.1998001998001998,0.999000999000999,0.3996003996003996,0.2997002997002997
2017-06-04,0.6183368869936035,1.6844349680170574,0.16346837242359633,0.31982942430703626
2017-06-11,0.15932023366967604,1.2214551248008496,0.37174721189591076,0.6107275624004248
2017-06-18,1.2463343108504399,2.565982404692082,0.4887585532746823,0.39100684261974583
2017-06-25,1.0252904989747096,2.0915926179084074,0.6015037593984963,0.5741626794258373
2017-07-02,0.8952722008457465,2.1296049373309462,0.47239894853137265,0.29715417730199245
2017-07-09,0.22789425706472194,1.959890610756609,0.5469462169553327,0.18231540565177756
2017-07-16,0.19286403085824494,1.7357762777242043,0.7714561234329798,0.19286403085824494
