date,economy,reform,regulation,intervention,total_length,number_of_text,EPU,EPU_change
2000-01-02,,,,,,,270.852779572717,
2000-01-09,,,,,,,124.437646029654,-0.5405709100495102
2000-01-16,,,,,,,0.0,-1.0
2000-01-23,,,,,,,60.422848086441,0.004367928862568093
2000-01-30,,,,,,,19.0927112093117,-0.6840150404363984
2000-02-06,,,,,,,0.0,-1.0
2000-02-13,,,,,,,0.0,
2000-02-20,,,,,,,0.0,
2000-02-27,,,,,,,0.0,
2000-03-05,,,,,,,15.9082217935637,0.004367928862568093
2000-03-12,,,,,,,0.0,-1.0
2000-03-19,,,,,,,0.0,
2000-03-26,,,,,,,119.222624101213,0.004367928862568093
2000-04-02,,,,,,,39.2429060476534,-0.6708434632814451
2000-04-09,,,,,,,147.80159579962,2.7663264698119385
2000-04-16,,,,,,,58.926202312786,-0.60131552035017
2000-04-23,,,,,,,109.321425320259,0.8552260459611882
2000-04-30,,,,,,,44.3991314675926,-0.5938661489499923
2000-05-07,,,,,,,64.2263616184022,0.44656797318843267
2000-05-14,,,,,,,53.03169521508,-0.17430018019446225
2000-05-21,,,,,,,22.4209614828496,-0.577215825518736
2000-05-28,,,,,,,52.356691350657,1.3351670886507723
2000-06-04,,,,,,,30.0423431562103,-0.4261985931272314
2000-06-11,,,,,,,0.0,-1.0
2000-06-18,,,,,,,272.922582975788,0.004367928862568093
2000-06-25,,,,,,,0.0,-1.0
2000-07-02,,,,,,,0.0,
2000-07-09,,,,,,,0.0,
2000-07-16,,,,,,,31.3943248381227,0.004367928862568093
2000-07-23,,,,,,,74.5384985377038,1.3742666523979628
2000-07-30,,,,,,,93.2706201626969,0.2513080085121091
2000-08-06,,,,,,,126.059576354197,0.351546458405708
2000-08-13,,,,,,,34.0609759321378,-0.7298025511648978
2000-08-20,,,,,,,23.1803553781282,-0.3194453551679748
2000-08-27,,,,,,,0.0,-1.0
2000-09-03,,,,,,,111.835201405356,0.004367928862568093
2000-09-10,,,,,,,43.1895882147791,-0.6138104311339787
2000-09-17,,,,,,,33.8404715664723,-0.21646690868674712
2000-09-24,,,,,,,27.268712353518,-0.19419821618163624
2000-10-01,,,,,,,5.03118741326456,-0.8154959666580855
2000-10-08,,,,,,,17.9899546470171,2.575687639778072
2000-10-15,,,,,,,11.1591151762267,-0.3797029845165849
2000-10-22,,,,,,,19.2317530032689,0.7234119999263104
2000-10-29,,,,,,,61.3022396252999,2.1875533974921635
2000-11-05,,,,,,,67.1185030654498,0.09487848202122606
2000-11-12,,,,,,,168.272454936698,1.5070948732663054
2000-11-19,,,,,,,27.8841348369602,-0.8342917452089835
2000-11-26,,,,,,,9.81284759447437,-0.6480849181138115
2000-12-03,,,,,,,53.5224724229836,4.454326270502987
2000-12-10,,,,,,,70.4278418784891,0.31585554048968056
2000-12-17,,,,,,,36.7135108939126,-0.4787074271386119
2000-12-24,,,,,,,16.3357762368578,-0.5550472880661924
2000-12-31,,,,,,,124.362939159873,6.61291886940013
2001-01-07,,,,,,,67.1211456743021,-0.46028015960594604
2001-01-14,,,,,,,56.6953011629222,-0.15532876274147867
2001-01-21,,,,,,,98.1137490371862,0.7305446311192891
2001-01-28,,,,,,,24.7496344882302,-0.7477455022246697
2001-02-04,,,,,,,49.462574278891,0.9985173640609986
2001-02-11,,,,,,,30.3584549239965,-0.38623382695727404
2001-02-18,,,,,,,31.1978271456058,0.027648713470784347
2001-02-25,,,,,,,53.2110470637282,0.7056010604643328
2001-03-04,,,,,,,20.7485505742488,-0.6100706203093635
2001-03-11,,,,,,,68.4865591891372,2.3007876354571217
2001-03-18,,,,,,,156.277322768461,1.2818685099491534
2001-03-25,,,,,,,16.8059273823056,-0.8924608696605002
2001-04-01,,,,,,,30.2922616050712,0.8024748599690434
2001-04-08,,,,,,,83.3201546795575,1.7505425565719053
2001-04-15,,,,,,,46.1049219183908,-0.446653428624724
2001-04-22,,,,,,,24.5223751652721,-0.46811806321506066
2001-04-29,,,,,,,35.5198061696731,0.44846516417281057
2001-05-06,,,,,,,47.9683205731418,0.3504668450048376
2001-05-13,,,,,,,47.7531473551349,-0.004485735907280852
2001-05-20,,,,,,,49.957449254862,0.046160347994111284
2001-05-27,,,,,,,79.3601678957749,0.5885552421003828
2001-06-03,,,,,,,57.7310641935113,-0.2725435728748643
2001-06-10,,,,,,,37.8863754732133,-0.3437436845747328
2001-06-17,,,,,,,28.8274206551875,-0.23910851077403084
2001-06-24,,,,,,,23.4723324779697,-0.18576369496499334
2001-07-01,,,,,,,57.1533968375686,1.434926179203143
2001-07-08,,,,,,,7.65453970450904,-0.8660702577965149
2001-07-15,,,,,,,59.4023952920834,6.760413765584282
2001-07-22,,,,,,,57.6774183505067,-0.029038844866354885
2001-07-29,,,,,,,34.9716584438115,-0.3936681036712131
2001-08-05,,,,,,,39.0371965257739,0.11625236728462407
2001-08-12,,,,,,,74.4422844668641,0.9069577503526502
2001-08-19,,,,,,,76.512980136109,0.027816122034334034
2001-08-26,,,,,,,61.950462163912,-0.1903274182536312
2001-09-02,,,,,,,56.9627672979987,-0.08051101947741046
2001-09-09,,,,,,,35.426280927986,-0.3780800581078748
2001-09-16,,,,,,,18.7777800737883,-0.4699477455180948
2001-09-23,,,,,,,75.579614465746,3.024949390649578
2001-09-30,,,,,,,65.0617679104524,-0.13916247958714412
2001-10-07,,,,,,,37.081546553661,-0.43005627199220764
2001-10-14,,,,,,,167.697491913007,3.5223974590792926
2001-10-21,,,,,,,8.25057785422435,-0.9508008273701295
2001-10-28,,,,,,,46.1332130230325,4.591512962866231
