,close.1,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
2014-02-01,-0.008819846,-0.35685677221371637,0.044168876438863025,-0.06729069267374899,0.12696482268320475,-0.12553355044348224,0.4796363468352891
2014-03-01,0.00099705,1.0283109451763561,0.054914833165777166,0.43906154668430974,0.2578409270298081,0.319012939458601,0.5762859114017
2014-04-01,0.019805155,-0.3755252245154942,0.061716200135957244,-0.05382692680394996,-0.21461505250176072,-0.4212107086036244,-0.4705167621288635
2014-05-01,-0.008502753,-0.041599122298183744,0.028849025901103387,-0.3543877760025219,-0.36579336579122,-0.3349902713325541,-0.43202268588027337
2014-06-01,0.000202415,0.2658264355305222,-0.21601151893094217,-0.15194685138211728,0.09157385508227467,0.08088913351324778,0.21060800667474022
2014-07-01,0.094070426,0.24697472862652892,-0.05416337961864914,0.2731911612954909,-0.043576470308324566,1.3068706111278412,-0.00885475164834204
2014-08-01,-0.025014644,0.1845118371454686,0.11549866110497553,0.0028024751332285103,0.0748086526849161,-0.5038072929964876,-0.29521785387758104
2014-09-01,0.024296772,0.23019573141273075,0.027527209131330554,0.07880965898319992,0.05104278355973402,0.2272902481666521,0.3279754182979826
2014-10-01,0.023208001000000002,0.2946428366074447,-0.10113123573264349,-0.2397940597520607,0.13329517212465425,-0.4931343823242599,0.09982636610496587
2014-11-01,0.155162947,-0.5312217084326787,-0.017481816602227584,0.3953456809775189,-0.035008483300096316,1.425958169801667,0.1642345431933938
2014-12-01,0.34847266,-0.1665619312923312,0.22055664863607105,0.5011513358318511,0.6244992872007324,-0.40777433802156304,1.0645781093412512
2015-01-01,-0.068249166,1.4713998472350345,0.24265540898084392,0.22376792613524277,-0.1016197143307418,0.12479642330629526,-0.05000750119520425
2015-02-01,0.028773001,-0.4932126789004583,-0.09271428846745233,-0.6420750915388314,-0.07180917857932334,0.2508270627670999,-0.1515362280140895
2015-03-01,0.113178345,-0.30242409838448325,-0.21973586165043113,1.141382673247945,-0.2715929022925544,-0.3780210514079395,-0.24993384756277004
2015-04-01,0.179996805,0.28291056280722215,0.008537327302374775,-0.2707670921975194,-0.08264363448423684,-0.08089700026415347,-0.2640477056862339
2015-05-01,-0.042812007,0.2111166625266485,0.08903173139951925,-0.01847394412126624,-0.009509345968768068,-0.2520874267680673,-0.3719600188963136
2015-06-01,-0.077555258,-0.03300335757738593,0.005553410215675347,-0.12137749654540864,0.4235455986288783,0.295815782346158,0.23464227292177764
2015-07-01,-0.142434051,1.1785500090555776,0.4498836566798057,0.8045966975333225,0.4556206077377054,0.12462614539981254,0.9622620443371628
2015-08-01,-0.101895792,-0.16616701095721864,0.12941818194746202,-0.05557399426438914,0.2127062204377992,1.3524523369415307,1.8621694763987842
2015-09-01,-0.029102671,0.755050291802507,-0.15294404595384015,-0.06760465033505314,-0.3106653786656747,-0.3043092586372941,-0.2751779027282353
2015-10-01,0.077744954,-0.3772972633181729,-0.21577741119222382,-0.16541314087602854,-0.08345714396539405,0.654105692009715,-0.4590676221328268
2015-11-01,0.010082275,-0.5722221848336075,-0.05252872856659563,-0.3938214462280134,-0.28105554309700165,-0.2926024162569093,-0.3362627689798293
2015-12-01,0.036172735,0.44740642364991845,-0.04263292078960712,0.8993925522960657,0.3971782838709854,0.47556922126155277,1.1640220077935393
2016-01-01,-0.184976041,0.7276850210548149,0.37758513509092473,-0.1948685695746083,0.049135512735893894,-0.4940604461099477,0.48935990771597937
2016-02-01,-0.01439425,0.027017873507657608,-0.07313848013108226,0.6141069955092893,0.18314396595204818,0.440558409364358,-0.09580429783267774
2016-03-01,0.108983292,0.20123715559711997,-0.08944786633906043,0.11630949113198996,-0.028026761596459115,0.8901063887031346,-0.2154042188791987
2016-04-01,-0.009751731999999999,-0.11442935429034062,-0.022542704006989767,-0.3435252227912111,-0.43577498060401576,-0.37858686135760933,-0.3086168676565133
2016-05-01,0.009435685,-0.090572723378476,-0.022846032254909332,0.015659909214781553,0.19739358202655155,-0.617568611274373,0.08815861762138066
