,close,close
2014/1/31,1477.35,0
2014/2/28,1464.32,-0.008819846
2014/3/31,1465.78,0.00099705
2014/4/30,1494.81,0.019805155
2014/5/30,1482.1,-0.008502753
2014/6/30,1482.4,0.000202415
2014/7/31,1621.85,0.094070426
2014/8/29,1581.28,-0.025014644
2014/9/30,1619.7,0.024296772
2014/10/31,1657.29,0.023208001
2014/11/28,1914.44,0.155162947
2014/12/31,2581.57,0.34847266
2015/1/30,2405.38,-0.068249166
2015/2/27,2474.59,0.028773001
2015/3/31,2754.66,0.113178345
2015/4/30,3250.49,0.179996805
2015/5/29,3111.33,-0.042812007
2015/6/30,2870.03,-0.077555258
2015/7/31,2461.24,-0.142434051
2015/8/31,2210.45,-0.101895792
2015/9/30,2146.12,-0.029102671
2015/10/30,2312.97,0.077744954
2015/11/30,2336.29,0.010082275
2015/12/31,2420.8,0.036172735
2016/1/29,1973.01,-0.184976041
2016/2/29,1944.61,-0.01439425
2016/3/31,2156.54,0.108983292
2016/4/29,2135.51,-0.009751732
2016/5/31,2155.66,0.009435685
