,timestamp,title,url
FIN_zcgg_37,2020-05-21,公益性捐赠税前扣除有关事项明确,http://szs.mof.gov.cn/zhengcefabu/202005/t20200520_3516908.htm
FIN_zcgg_38,2020-05-20,《海洋生态保护修复资金管理办法》印发,http://zyhj.mof.gov.cn/zcfb/202005/t20200518_3515519.htm
FIN_zcgg_39,2020-05-14,财政部、国家电影局发布公告暂免征收国家电影事业发展专项资金,http://szs.mof.gov.cn/zhengcefabu/202005/t20200514_3513564.htm
FIN_zcgg_40,2020-05-14,财政部、税务总局发布公告明确电影等行业税费支持政策,http://szs.mof.gov.cn/zhengcefabu/202005/t20200514_3513554.htm
FIN_zcgg_41,2020-05-12,国务院关税税则委员会关于第二批对美加征关税商品第二次排除清单的公告,http://gss.mof.gov.cn/gzdt/zhengcefabu/202005/t20200512_3512030.htm
FIN_zcgg_42,2020-05-09,《支持引导黄河全流域建立横向生态补偿机制试点实施方案》印发,http://zyhj.mof.gov.cn/gjz/zcfg/202005/t20200507_3509086.htm
FIN_zcgg_43,2020-05-06,《林业草原生态保护恢复资金管理办法》印发,http://zyhj.mof.gov.cn/zcfb/202004/t20200430_3507067.htm
FIN_zcgg_44,2020-04-30,财政部、中国民用航空局修订印发民航中小机场补贴管理暂行办法,http://jjs.mof.gov.cn/zhengcefagui/202004/t20200430_3507240.htm
FIN_zcgg_45,2020-04-29,财政部印发通知正式启用《收费公路通行费财政票据（电子）》,http://pjzx.mof.gov.cn/zhengceguiding/202004/t20200428_3505831.htm
FIN_zcgg_46,2020-04-28,财政部等三部委印发公告延续西部大开发企业所得税政策,http://szs.mof.gov.cn/zhengcefabu/202004/t20200426_3504576.htm
FIN_zcgg_47,2020-04-27,《住宅专项维修资金会计核算办法》印发,http://kjs.mof.gov.cn/zhengcefabu/202004/t20200427_3504959.htm
FIN_zcgg_48,2020-04-26,财政部、税务总局发布公告延续实施普惠金融有关税收优惠政策,http://szs.mof.gov.cn/zhengcefabu/202004/t20200426_3504305.htm
FIN_zcgg_49,2020-04-26,财政部、教育部发文进一步加大支持力度持续做好义务教育有保障工作,http://jkw.mof.gov.cn/zhengcefabu/202004/t20200424_3503866.htm
FIN_zcgg_50,2020-04-23,财政部等四部委印发通知完善新能源汽车推广应用财政补贴政策,http://jjs.mof.gov.cn/zhengcefagui/202004/t20200423_3502975.htm
