date,total_length,number_of_article,EPU,EPU_change
2016-04-17,1461.0,2.0,161.773252145897,1.1266635936133866
2016-04-24,7653.0,11.0,59.2195875451325,-0.6339346167577526
2016-05-01,9723.0,25.0,88.4474868703881,0.4935512139962206
2016-05-08,4804.0,9.0,24.1748522308866,-0.7266756457838911
2016-05-15,7190.0,6.0,177.827751701513,6.355898187220946
2016-05-22,11440.0,16.0,215.572515933623,0.21225463332329175
2016-05-29,8304.0,21.0,42.4093880476185,-0.8032708953460617
2016-06-05,8578.0,10.0,111.641227155322,1.6324649398375652
2016-06-12,3763.0,7.0,74.1481119464129,-0.3358357496083989
2016-06-19,5627.0,7.0,58.7035628897957,-0.20829322084126745
2016-06-26,6469.0,14.0,344.478947611915,4.868109713521237
2016-07-03,20796.0,17.0,73.756459016266,-0.7858897923150909
2016-07-10,6707.0,20.0,92.3635051086473,0.2522768356907936
2016-07-17,25928.0,49.0,231.398377453513,1.5053009538921116
2016-07-24,10169.0,11.0,32.9979995158682,-0.8573974464341377
2016-07-31,9950.0,9.0,105.084341889683,2.184567047440244
2016-08-07,307.0,1.0,152.869765522443,0.4547340048332309
2016-08-14,0.0,0.0,60.1235754801781,-0.6067006757372747
2016-08-21,6309.0,8.0,96.7387610084526,0.6089988034784461
2016-08-28,14145.0,20.0,139.068893072956,0.4375715754805334
2016-09-04,9943.0,12.0,116.823395973961,-0.15996026578945255
2016-09-11,27177.0,41.0,72.5421154511675,-0.3790446267515065
2016-09-18,8252.0,14.0,77.8194011348274,0.07274788791088338
2016-09-25,45302.0,82.0,151.884355718596,0.951754363355303
2016-10-02,7270.0,13.0,114.790147112751,-0.2442266580408805
2016-10-09,12141.0,13.0,116.79669901204,0.01748017534395263
2016-10-16,22279.0,54.0,38.7583711094665,-0.668155252354597
2016-10-23,3289.0,6.0,65.049094589824,0.6783237460135711
2016-10-30,1401.0,2.0,75.9070324896462,0.16691912421361788
2016-11-06,31353.0,72.0,185.63606092628,1.4455713105580958
2016-11-13,6673.0,13.0,52.808311803423,-0.7155277291495951
2016-11-20,11790.0,14.0,80.3148543255273,0.5208752482847094
2016-11-27,13839.0,29.0,178.179060984753,1.2185069310163774
2016-12-04,9470.0,11.0,305.517382336373,0.7146649030915955
2016-12-11,4143.0,6.0,148.493260376892,-0.5139613358777677
2016-12-18,1496.0,6.0,98.1191061800088,-0.3392352896624947
2016-12-25,8873.0,10.0,101.420945055239,0.03365133462561998
2017-01-01,12405.0,10.0,209.499747296508,1.0656457813758666
2017-01-08,8905.0,6.0,39.9460721500494,-0.809326394587421
2017-01-15,3021.0,4.0,144.510224929033,2.6176329023341607
2017-01-22,8422.0,8.0,194.992365031439,0.3493326519088673
2017-01-29,13985.0,24.0,25.8083053294822,-0.8676445340548535
2017-02-05,6989.0,7.0,137.498178978351,4.327671740665573
2017-02-12,4672.0,6.0,64.2976860138295,-0.5323742722152478
2017-02-19,2518.0,2.0,218.000642282777,2.3904897018516063
2017-02-26,11641.0,13.0,90.7138033717195,-0.5838828618951905
2017-03-05,28739.0,39.0,181.37656873326,0.9994373732741659
2017-03-12,7279.0,42.0,46.9334635950176,-0.7412374491214468
2017-03-19,23493.0,40.0,224.79445049461,3.7896411915031543
2017-03-26,35976.0,65.0,320.232538574064,0.42455713595003686
2017-04-02,19918.0,31.0,95.7844040373702,-0.7008910947529556
2017-04-09,8721.0,14.0,136.419226294261,0.4242321353384124
2017-04-16,9068.0,12.0,62.0327786122764,-0.5452783284485901
2017-04-23,8987.0,9.0,131.465816283882,1.1192959468345443
2017-04-30,5049.0,5.0,101.369067744177,-0.22893212388165818
2017-05-07,4244.0,7.0,41.9492188469012,-0.5861733783251557
2017-05-14,11265.0,20.0,30.5517797073022,-0.2716960995434826
2017-05-21,8025.0,15.0,30.0082602570322,-0.017790107662372656
2017-05-28,4458.0,11.0,41.8607345433917,0.3949737233961095
2017-06-04,20910.0,26.0,40.4304718348378,-0.034167167015937694
2017-06-11,5451.0,7.0,160.971863001356,2.981449033267306
2017-06-18,6056.0,8.0,54.4527621894396,-0.6617249674933507
2017-06-25,10894.0,10.0,135.782597160405,1.4935851130567301
2017-07-02,38434.0,19.0,71.9994546460051,-0.4697446053344414
2017-07-09,3336.0,3.0,169.869267420542,1.359313251131232
2017-07-16,3080.0,5.0,164.615297718515,-0.030929489376202768
2017-07-23,5770.0,6.0,60.2491466597611,-0.6340003177421303
2017-07-30,3502.0,7.0,118.061085442359,0.9595478440395746
2017-08-06,4446.0,4.0,35.7878135904359,-0.6968703662485926
2017-08-13,4046.0,4.0,149.35148942968,3.173249898384219
2017-08-20,7012.0,7.0,358.912678595671,1.4031409393118905
2017-08-27,5005.0,8.0,41.0952682319186,-0.885500650484922
2017-09-03,5090.0,6.0,201.68753676447,3.907804363905325
2017-09-10,14934.0,14.0,98.4846832527456,-0.5116967323183897
2017-09-17,6206.0,11.0,51.4905503653581,-0.47717199604312455
2017-09-24,3751.0,5.0,77.49722349286,0.5050766197480523
2017-10-01,8045.0,8.0,29.8172498241071,-0.6152475084884269
2017-10-08,0.0,0.0,34.2216366725194,0.14771271241962003
2017-10-15,3804.0,4.0,44.4811827094036,0.2997970592424295
2017-10-22,2182.0,3.0,133.251265747553,1.9956772196927859
2017-10-29,2089.0,4.0,26.2979383026866,-0.8026439887444782
2017-11-05,5086.0,7.0,50.6940168181129,0.9276802703934397
2017-11-12,19913.0,9.0,61.7809186531821,0.2187023741844789
2017-11-19,23329.0,23.0,117.630395052667,0.9039923267086012
