,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
1995-01-01,192.9119110107422,,,,,
1995-02-01,193.98785400390625,,,,,
1995-03-01,88.22703552246094,,,,,
1995-04-01,131.0347137451172,,,,,
1995-05-01,177.09686279296875,,,,,
1995-06-01,79.09623718261719,,,,,
1995-07-01,61.732688903808594,,,,,
1995-08-01,52.983123779296875,,,,,
1995-09-01,76.82008361816406,,,,,
1995-10-01,153.8712921142578,,,,,
1995-11-01,100.0615005493164,,,,,
1995-12-01,143.11668395996094,,,,,
1996-01-01,128.42945861816406,,,,,
1996-02-01,111.15818786621094,,,,,
1996-03-01,69.440673828125,,,,,
1996-04-01,63.35744094848633,,,,,
1996-05-01,84.1733627319336,,,,,
1996-06-01,36.838809967041016,,,,,
1996-07-01,47.684810638427734,,,,,
1996-08-01,55.95354461669922,,,,,
1996-09-01,51.04103088378906,,,,,
1996-10-01,53.6197624206543,,,,,
1996-11-01,85.29986572265625,,,,,
1996-12-01,69.18518829345703,,,,,
1997-01-01,88.3237075805664,,,,,
1997-02-01,115.34867858886719,,,,,
1997-03-01,59.410587310791016,,,,,
1997-04-01,123.27134704589844,,,,,
1997-05-01,20.579830169677734,,,,,
1997-06-01,62.72386932373047,,,,,
1997-07-01,42.59028244018555,,,,,
1997-08-01,27.126089096069336,,,,,
1997-09-01,70.8626708984375,,,,,
1997-10-01,83.15766143798828,,,,,
1997-11-01,69.05574798583984,,,,,
1997-12-01,20.722469329833984,,,,,
1998-01-01,77.7058334350586,,,,,
1998-02-01,98.68479919433594,,,,,
1998-03-01,64.92120361328125,,,,,
1998-04-01,19.439777374267578,,,,,
1998-05-01,41.80421829223633,,,,,
1998-06-01,68.2985610961914,,,,,
1998-07-01,100.43605041503906,,,,,
1998-08-01,38.225399017333984,,,,,
1998-09-01,74.32969665527344,,,,,
1998-10-01,128.11868286132812,,,,,
1998-11-01,51.11582565307617,,,,,
1998-12-01,69.6688232421875,,,,,
1999-01-01,123.6696548461914,,,,,
1999-02-01,98.32405090332031,,,,,
1999-03-01,82.27812957763672,,,,,
1999-04-01,16.56603240966797,,,,,
1999-05-01,116.03939056396484,,,,,
1999-06-01,101.52250671386719,,,,,
1999-07-01,66.9092025756836,,,,,
1999-08-01,39.80082321166992,,,,,
1999-09-01,102.30252838134766,,,,,
1999-10-01,78.27619934082031,,,,,
1999-11-01,62.016963958740234,,,,,
1999-12-01,36.9937858581543,,,,,
2000-01-01,44.00444030761719,38.1961578675666,85.6827593231493,58.2297921723032,83.4849398783926,30.6377441730912
2000-02-01,9.0667085647583,40.058447775625105,66.5637441960477,22.3588642751392,106.746417009916,18.4513562305546
2000-03-01,44.39913558959961,48.60256228022239,35.2786194436676,31.7029323556144,109.381882252485,10.7409511426504
2000-04-01,35.44141387939453,64.93450317847757,48.9216447441159,52.3672108003946,106.041599160898,29.5006561202957
2000-05-01,71.13580322265625,49.82343456904926,18.8758237987819,11.4347077993851,40.9366666775586,16.4970634629501
2000-06-01,36.85697555541992,50.789288835514576,23.4791580061483,21.429958935467,53.9607388807768,30.8985058961712
2000-07-01,18.607404708862305,79.62038401678176,50.1256018300128,33.7082286815343,57.1724501544375,25.2284974557335
2000-08-01,27.140865325927734,40.34602946142396,24.5822550729615,23.9454351669384,68.8733296407626,21.9516506790218
2000-09-01,58.010047912597656,41.83272476975248,38.4546884551261,29.9251579677862,72.0400812723862,20.2169840858892
2000-10-01,70.60662841796875,43.74543003319456,26.0176632316865,18.2916449718187,50.679574208703,33.7768709008536
2000-11-01,140.3679656982422,79.94008433377806,44.7560141800785,35.1509740646352,68.8433688558073,26.2104006273425
2000-12-01,112.6115951538086,53.51301389057851,50.9939071640983,32.8655701881406,117.877092435456,33.6132447715753
2001-01-01,97.32544708251953,85.53939427327276,65.0374280144175,66.3765588011408,121.048502607967,63.2066629233645
2001-02-01,65.1502456665039,65.28011026151508,56.2653706178202,47.6928215679368,55.6280010005657,47.7854598942502
2001-03-01,114.62845611572266,80.56661799575915,131.537175869638,84.3140611056286,165.905492891981,117.338112231585
2001-04-01,107.18360137939453,60.05142917128941,32.55245972146,26.5491985033671,89.0000880068703,38.3244582904953
2001-05-01,95.76116943359375,69.40862676789042,20.5939794247644,44.376180920614,57.4541318047026,60.2388886068271
2001-06-01,54.47955322265625,53.974957568862294,25.4687456336898,25.4764374706387,66.8034975745875,37.4037183178799
2001-07-01,118.17539978027344,81.97201639449733,40.471504577799,34.6236188989669,98.5413426880648,27.39267460219
2001-08-01,131.47923278808594,58.58971752119154,53.5822127527278,40.9339851000278,99.5551605289572,38.3265700119537
2001-09-01,202.87771606445312,67.8682589595651,30.7470623225,45.0524644401769,125.920034555534,41.6112190788352
2001-10-01,297.2353515625,82.86821757088788,43.9833502868647,43.2132792780688,112.538482256725,39.2195919524572
2001-11-01,128.78350830078125,77.96696015020578,56.4327778763247,51.25763203437,237.052371595588,54.587655677856
2001-12-01,136.84719848632812,95.17101819815083,67.0707522918025,50.642391589961,185.80371663049,85.9401517901355
2002-01-01,159.89443969726562,94.34445941946069,81.48428769221,54.6362315204477,216.250452791173,99.7007051690084
2002-02-01,163.70115661621094,91.8390369787939,77.3127028941575,70.784590202477,192.644386935767,72.2616242924087
2002-03-01,140.20535278320312,70.73847222953422,96.1821583828059,55.9652779810182,195.679270115181,57.4249071355231
2002-04-01,117.48548126220703,77.55067028190275,50.3483733614761,44.1350297022937,90.6864165051216,46.8653400381634
